BEZIRK,n_trees,n_species,n_genera,n_streets,mean_height,mean_crown,mean_trunk,sd_trunk,mean_year_raw,mean_year_clean,unknown_year,unknown_trunk,sp12,sp6,sp14,sp1,sp8,sp2,sp29,sp18,sp3,sp20,sp4,sp30,sp28,sp22,sp19,sp9,sp17,sp7,sp26,sp15,sp24,sp13,sp27,sp10,sp16,sp25,sp5,sp11,sp21,sp23,gen1,gen4,gen10,gen5,gen3,gen13,gen6,gen9,gen7,gen8,gen14,gen15,gen11,gen2,gen12,h1,h2,h3,h4,h5,h6,h7,h8,h9,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8,cr9
1,4522,232,70,111,2.3299425033171164,2.283060592658116,88.87107474568775,66.54783232606866,1893.6751437417072,1992.8319757970678,4.975674480318443,3.6267138434321096,0.55285272003538255,0.5749668288367978,1.105705440070765,12.914639540026537,4.3343653250774,2.410437859354268,0.5970809376382131,0.37593984962406013,21.539141972578506,0.08845643520566121,0.508624502432552,0.15479876160990713,0.19902697921273774,0.17691287041132242,3.184431667403804,0.11057054400707651,1.614329942503317,5.41795665634675,0.5307386112339673,0.044228217602830605,0.08845643520566121,0.4865103936311367,0.35382574082264484,0.6413091552410438,2.476780185758514,3.339230429013711,1.7691287041132242,2.7863777089783284,0.508624502432552,1.0393631136665193,22.865988500663423,3.427686864219372,0.8845643520566121,22.73330384785493,1.2826183104820876,0.5970809376382131,1.9018133569217162,5.904467049977886,0.729765590446705,3.4498009730207873,0.729765590446705,0.9509066784608581,1.017249004865104,14.26360017691287,1.8354710305174702,3.6267138434321096,19.77001326846528,34.85183547103052,27.797434763379037,10.659000442282176,2.410437859354268,0.7739938080495357,0.08845643520566121,0.022114108801415303,3.6045997346306944,26.957098628925255,33.746130030959755,19.703670942061034,9.088898717381689,4.444935869084476,1.5037593984962405,0.46439628482972134,0.4865103936311367
2,21436,370,80,290,2.582618025751073,2.4587609628662066,107.65054114573614,80.43090598136162,1741.730033588356,1983.200095612451,12.17577906325807,2.1132674006344465,0.5458107855943273,2.5097966038440007,0.19126702743049076,8.541705542078747,3.0975928344840455,19.024071655159545,0.3825340548609815,0.6950923679791006,2.6684082851278226,0.765068109721963,4.380481433103191,0.7930584064191081,1.3342041425639113,1.2642284008210487,1.5161410710953536,0.33588356036573985,2.906325807053555,4.049262922186975,1.2222429557753312,1.782048889718231,0.4944952416495615,0.7417428624743422,1.5068109721963052,1.6047770106363128,1.3435342414629594,1.0356409777943647,1.9873110654972943,2.211233439074454,1.1382720656838963,0.8583690987124464,17.63855196865087,21.36126142937115,1.8240343347639485,3.4381414442993097,7.893263668594887,2.952976301548796,3.5734278783355102,5.005598059339429,4.69303974622131,2.0946072028363503,0.9190147415562605,2.2158984885239783,1.9733159171487218,8.844933756297817,2.9343161037507,1.92666542265348,18.342974435529015,27.659078186228776,31.77831685015861,13.79921627169248,5.080238850531815,1.273558499720097,0.0933009889904833,0.04665049449524165,1.949990669901101,23.563164769546557,30.677365180070908,24.724762082478073,11.471356596379922,5.476768053741369,1.6281022578839335,0.3218884120171674,0.1866019779809666
3,6613,274,71,220,2.1531831241494026,2.299259035233631,90.66172690155754,67.14163263498682,1696.5286556782096,1994.869132290185,14.955390896718585,2.419476788144564,1.6785120217752911,1.4214426130349311,0.8316951459246937,7.772569181914411,3.296537123846968,1.4214426130349311,0.3024345985180705,1.1643732042945714,8.921820656283078,0.8316951459246937,1.6331468319975806,0.665356116739755,0.8921820656283079,1.5424164524421593,2.3287464085891427,0.6804778466656586,2.827763496143959,2.2077725691819143,0.8316951459246937,0.12097383940722818,0.7107213065174656,0.9980341751096325,0.604869197036141,1.300468773627703,3.17556328443974,2.978980795402994,2.343868138515046,1.8448510509602298,0.8014516860728867,0.5292605474066233,19.718735823378193,1.965824890367458,2.9336156056252833,10.025706940874036,5.806744291546953,2.7672765764403446,3.7350672916981704,2.91849387569938,2.2077725691819143,4.672614547104189,1.3760774232572206,2.2077725691819143,1.6785120217752911,14.03296537123847,3.2511719340692573,2.374111598366853,26.084984122183577,38.303341902313626,22.486012399818538,8.906698926357175,1.58778164221987,0.1965824890367458,0.06048691970361409,0,2.4043550582186604,32.420988961137155,26.463027370331165,20.489944049599274,10.539845758354756,5.731135641917436,1.5424164524421593,0.22682594888855284,0.18146075911084228
4,1718,192,55,81,2.1839348079161818,2.2630966239813737,87.65890570430733,66.79346952070328,1591.091385331781,1993.796498905908,20.19790454016298,2.1536670547147847,0.05820721769499418,1.280558789289872,1.6880093131548313,6.169965075669383,2.852153667054715,0.5820721769499418,0.46565774155995343,0.8149010477299186,7.275902211874272,3.317811408614668,1.1641443538998837,0.17462165308498254,0.5820721769499418,0.5820721769499418,1.979045401629802,1.1641443538998837,1.4551804423748544,9.254947613504074,0.11641443538998836,0.05820721769499418,1.1059371362048893,0.8149010477299186,0.2910360884749709,1.3969732246798603,1.979045401629802,2.0954598370197903,2.619324796274738,2.6775320139697323,0.989522700814901,1.3969732246798603,17.57857974388824,1.8044237485448196,3.492433061699651,7.916181606519208,4.2491268917345755,1.7462165308498254,2.619324796274738,9.487776484284051,0.4074505238649593,3.608847497089639,0.8731082654249127,0.6984866123399301,1.6880093131548313,13.678696158323632,2.3864959254947613,2.0954598370197903,30.9662398137369,32.71245634458673,18.044237485448196,13.271245634458673,2.6775320139697323,0.23282887077997672,0,0,2.1536670547147847,37.019790454016295,22.70081490104773,20.19790454016298,9.487776484284051,6.228172293364377,1.5715948777648427,0.3492433061699651,0.2910360884749709
5,2266,189,55,109,1.971315092674316,2.061341571050309,82.7639011473963,55.25755344614707,1609.8389232127097,1997.7519167579408,19.41747572815534,2.7802294792586055,0.44130626654898497,0.970873786407767,2.64783759929391,9.929390997352163,3.3980582524271843,0.617828773168579,0.794351279788173,0.7502206531332745,11.16504854368932,1.7652250661959399,2.471315092674316,1.147396293027361,0.353045013239188,0.5736981465136805,2.5595763459841128,0,2.3389232127096204,2.206531332744925,0.44130626654898497,0.0441306266548985,0.353045013239188,1.676963812886143,0,1.676963812886143,0.8384819064430715,0.22065313327449249,2.5154457193292146,1.588702559576346,0.706090026478376,1.2797881729920564,22.241835834068844,0.8826125330979699,6.266548984995587,11.341571050308914,7.855251544571933,1.059135039717564,2.383053839364519,2.3389232127096204,1.941747572815534,4.854368932038835,2.383053839364519,0.706090026478376,1.8976169461606356,7.94351279788173,2.118270079435128,2.7802294792586055,32.789055604589585,37.51103265666372,20.6090026478376,4.545454545454546,1.2797881729920564,0.4854368932038835,0,0,2.824360105913504,39.49691085613416,23.654015887025597,22.153574580759045,7.811120917917035,2.9567519858781997,0.8826125330979699,0.22065313327449249,0
6,1507,169,57,89,2.002654280026543,2.037823490378235,73.14731254147313,53.52438781260686,1733.5202388852024,2001.8505747126437,13.404114134041142,1.5925680159256803,0.19907100199071,1.06171201061712,1.26078301260783,6.635700066357001,2.78699402786994,2.12342402123424,0.26542800265428,1.7252820172528203,5.57398805573988,0.79628400796284,0.79628400796284,1.1280690112806901,7.03384207033842,0.9953550099535501,1.39349701393497,0.06635700066357,0.9289980092899801,1.06171201061712,0.26542800265428,0,0.39814200398142,3.2514930325149303,0.13271400132714,0.39814200398142,0.6635700066357001,1.7252820172528203,1.92435301924353,1.5262110152621102,0.8626410086264101,1.92435301924353,15.85932315859323,3.11877903118779,7.69741207697412,6.768414067684141,3.3178500331785004,8.626410086264102,1.4598540145985401,1.7252820172528203,0.7299270072992701,3.6496350364963503,3.9150630391506303,0.39814200398142,0.46449900464499005,11.214333112143331,2.9860650298606504,1.59256801592568,38.22163238221632,31.984074319840744,16.921035169210352,9.289980092899802,1.7916390179163901,0.19907100199071,0,0,1.6589250165892502,45.45454545454545,20.96881220968812,17.58460517584605,9.15726609157266,4.37956204379562,0.53085600530856,0.19907100199071,0.06635700066357
7,1345,130,48,64,2.070631970260223,2.1866171003717474,77.42156133828996,50.952431529912374,1733.2371747211896,2001.0334763948497,13.382899628252787,1.412639405204461,2.379182156133829,0.5204460966542751,1.0408921933085502,9.516728624535316,4.089219330855019,0.44609665427509293,0.29739776951672864,1.0408921933085502,9.144981412639405,0.29739776951672864,0.5204460966542751,2.1561338289962824,7.5092936802973975,0.8921933085501859,1.1895910780669146,0,1.412639405204461,3.4944237918215615,0.6691449814126395,0,0.44609665427509293,2.973977695167286,0.14869888475836432,0.8178438661710037,1.486988847583643,1.0408921933085502,1.2639405204460967,1.1895910780669146,0.5204460966542751,3.79182156133829,21.78438661710037,0.7434944237918215,3.940520446096654,9.219330855018587,4.609665427509293,9.442379182156134,1.412639405204461,3.79182156133829,0.8178438661710037,3.5687732342007434,5.5018587360594795,0.44609665427509293,2.2304832713754648,9.442379182156134,5.799256505576208,1.412639405204461,33.97769516728624,35.910780669144984,16.133828996282528,10.111524163568774,2.3048327137546467,0.14869888475836432,0,0,1.486988847583643,38.95910780669145,24.1635687732342,17.54646840148699,11.74721189591078,5.130111524163569,0.7434944237918215,0.14869888475836432,0.07434944237918216
8,995,122,51,55,1.9326633165829146,1.979899497487437,72.64221105527638,58.57077634954834,1783.0683417085427,2002.4300225733634,10.954773869346733,2.512562814070352,1.8090452261306533,1.1055276381909547,2.814070351758794,9.64824120603015,3.0150753768844223,2.3115577889447234,0.9045226130653267,1.2060301507537687,10.150753768844222,1.306532663316583,0.5025125628140703,6.231155778894473,2.0100502512562812,0.7035175879396985,2.4120603015075375,0,0.20100502512562815,0.5025125628140703,0.20100502512562815,0,0.20100502512562815,1.5075376884422111,0.10050251256281408,0.4020100502512563,2.9145728643216082,1.306532663316583,0.20100502512562815,0.3015075376884422,0.8040201005025126,1.8090452261306533,22.71356783919598,4.0201005025125625,3.2160804020100504,11.35678391959799,10.150753768844222,2.71356783919598,0.3015075376884422,1.1055276381909547,0.5025125628140703,3.1155778894472363,2.613065326633166,0.6030150753768844,1.2060301507537687,6.030150753768845,3.4170854271356785,2.512562814070352,36.482412060301506,38.391959798994975,12.160804020100503,8.844221105527637,1.5075376884422111,0.10050251256281408,0,0,2.512562814070352,45.22613065326633,22.512562814070353,17.28643216080402,7.939698492462312,3.6180904522613067,0.5025125628140703,0.20100502512562815,0.20100502512562815
9,3214,184,63,133,2.3428749222153082,2.3018046048537646,94.1863721219664,70.9655636497057,1807.7433105164903,1993.168782161235,9.303049159925326,2.893590541381456,1.835718730553827,0.6222775357809583,0.9334163036714375,11.014312383322961,3.9203484754200373,1.3378967019290604,0.2177971375233354,0.5600497822028625,4.791537025513379,0.5289359054138145,0.9334163036714375,3.1425015556938396,0.3422526446795271,0.3111387678904792,2.5202240199128814,0.1555693839452396,2.8624766645924082,7.654013690105788,1.7112632233976353,0.18668326073428748,0.1555693839452396,0.6222775357809583,0.09334163036714374,0.46670815183571873,2.8624766645924082,1.2445550715619167,6.40945861854387,2.644679527069073,0.3422526446795271,4.635967641568139,21.064094586185437,1.897946484131923,1.9601742377100186,5.196017423771002,7.529558182949596,0.8400746733042938,3.0491599253266957,8.431860609831984,2.271313005600498,1.9601742377100186,1.057871810827629,0.7467330429371499,0.6222775357809583,18.79278158058494,5.849408836341008,2.893590541381456,22.899813316739266,32.82514001244555,24.673304293714995,13.036714374611076,2.582451773490977,0.9956440572495333,0.06222775357809583,0.031113876789047916,2.893590541381456,30.927193528313627,27.069072806471688,20.75295581829496,11.667703795892969,4.449284380833852,1.897946484131923,0.18668326073428748,0.1555693839452396
10,21388,359,84,419,2.106368056854311,2.0823826444735367,91.10585374976623,62.6688307796893,1230.4549279970076,1999.4658866433672,38.46081915092575,0.8930241256779502,2.038526276416682,4.37161024873761,1.5990274920516176,7.756685992145128,3.857303160650832,1.9637179726949692,1.0005610622779129,2.5294557695904247,5.133719842902562,1.3699270619038713,2.174116326912287,0.37404151860856555,0.603141948756312,0.8976996446605573,0.8602954927997007,5.4937348045633065,1.2623901253039087,5.465681690667664,1.2483635683560874,0.9491303534692351,1.8421544791471853,1.5055171123994764,1.7299420235646157,2.7866093136338135,2.6650458200860294,0.2805311389564242,2.5388068075556385,1.5195436693472975,0.8275668599214513,0.4161211894520292,22.377033850757435,2.8614176173555266,4.240695717224612,5.4937348045633065,5.119693285954741,1.6504582008602955,7.078735739667103,6.15765850009351,3.857303160650832,5.704133158780625,2.08995698522536,2.82401346549467,2.8614176173555266,6.887039461380213,1.6364316439124742,0.8836730877127361,30.951935664858798,34.257527585561995,26.014587619225733,6.57377968954554,1.0940714419300543,0.21039835421731812,0.014026556947821208,0,0.9631569104170563,36.20721900130915,31.49429586684122,20.810734991584066,7.550963156910417,1.9169627828688984,0.6779502524780251,0.2758556199738171,0.10286141761735552
